failed_logins_last_60s,requests_per_minute,votes_in_session,hour_of_day,is_new_ip,session_duration_seconds,admin_actions_per_session,status_is_error
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,22.0,0.0,12.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,1.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,15.0,0.0,9.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,2597.0,0.0,0.0
0.0,120.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,5.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,1.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,177.0,2.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,7.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,21.0,0.0,1.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,5.0,0.0,0.0
0.0,60.0,0.0,8.0,0.0,2230.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,2.0,0.0,0.0
0.0,90.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,1.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,4.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,1.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,7.0,0.0,0.0
0.0,150.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,3880.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,18.0,0.0,1531.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,6068.0,0.0,0.0
0.0,90.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,4831.0,0.0,0.0
0.0,150.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,3106.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,14.0,0.0,0.0,1.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,3.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,7.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,4224.0,0.0,0.0
0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,2676.0,0.0,0.0
0.0,60.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,55.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,12.0,0.0,0.0,1.0,0.0
0.0,180.0,0.0,11.0,0.0,267.0,0.0,0.0
0.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,4.0,0.0,0.0
0.0,150.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,1.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,2030.0,0.0,0.0
0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,2.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,2596.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,9.0,0.0,7200.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,22.0,0.0,2467.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,11.0,0.0,1365.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,5.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,9.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,9.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,1.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,1.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,22.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,3915.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,17.0,0.0,0.0,1.0,0.0
0.0,120.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,1.0,0.0,0.0
